c_num,c_dept,stud_id,deg_len,deg_type,year_planned,sem_planned
144,CSCI,99999997,4,BS,2019,F
151,MATH,99999997,4,BS,2019,F
270,CSCI,99999997,4,BS,2020,S
152,MATH,99999997,4,BS,2020,S
302,CSCI,99999997,4,BS,2020,F
343,CSCI,99999997,4,BS,2020,F
1,SCI,99999997,4,BS,2020,F
245,MATH,99999997,4,BS,2021,S
300,CSCI,99999997,4,BS,2021,S
2,SCI,99999997,4,BS,2021,S
371,CSCI,99999997,4,BS,2021,F
242,MATH,99999997,4,BS,2021,F
3,MSCI,99999997,4,BS,2021,F
390,CSCI,99999997,4,BS,2022,S
444,CSCI,99999997,4,BS,2022,S
3,MSCI,99999997,4,BS,2022,S
499A,CSCI,99999997,4,BS,2022,F
300,CSCI,99999997,4,BS,2022,F
499B,CSCI,99999997,4,BS,2023,S
300,CSCI,99999997,4,BS,2023,S
